employee_number,gender,birth_year,age,marital_status,dist_home,job_title,department,departured,year_at_comp,standard_hours,remote,business_travel,over_time,job_level,stock_opt_level,traning_times_last_year,perf_rate,year_last_promotion,year_current_mngr,education_field,education_scale,annual_salary,monthly_income,daily_rate,perc_salary_hike,env_sat_rate,job_involvement,job_sat_rate,relationship_sat_rate,work_life_balance,num_comp_worked,tot_working_year
1,0,1972,51,,6, resEArch DIREcToR ,,No,20,Full Time,Yes,,No,5,0,5,"3,0",15,15,,3,"195370,00$","16280,83$",2015.7222222222224,13,1,3,3,3,"3,0",7,
2,0,1971,52,,1, ManAGeR ,,No,33,,1,,,5,1,5,"3,0",11,9,Life Sciences,4,"199990,00$",,2063.3888888888887,14,3,2,3,1,"3,0",0,"34,0"
3,0,1981,42,Married,4, ManaGER , Research & Development ,No,22,,1,travel_rarely,No,5,0,3,"3,0",11,15,Technical Degree,2,"192320,00$",,1984.253968253968,11,3,3,4,4,,1,"22,0"
4,1,1976,47,Married,2, ReseArCH DIrECtOr ,,No,20,Full Time,False,travel_rarely,,4,2,2,"3,0",5,6,Medical,4,"171690,00$","14307,50$",1771.4047619047622,19,1,3,3,2,,3,
5,1,1977,46,Divorced,3, sAleS EXECUtIve ,,No,19,,0,,No,4,1,5,"3,0",2,8,Technical Degree,3,,"12783,92$",1582.7713464696226,12,1,4,1,4,"3,0",2,
6,1,1975,48,,22, MANAger , Research & Development ,No,22,,Yes,,No,4,1,3,"3,0",4,7,Medical,3,,"14311,67$",1771.920634920635,11,4,3,4,2,"3,0",3,
7,1,1964,59,,25, Sales ExeCutIVe ,,No,21,Part Time,True,,,3,0,3,"3,0",7,9,Life Sciences,3,"100071,84$","8339,32$",1032.4872861766066,11,1,3,1,4,"2,0",7,"28,0"
8,0,1981,42,Married,1, Sales eXEcUTiVe ,,No,20,Part Time,0,travel_rarely,No,2,0,3,"4,0",11,6,,1,"53914,11$",,556.2566609977324,25,2,3,3,3,"3,0",1,"20,0"
9,1,1982,41,Married,2, mANAGEr ,,No,18,Full Time,True,,No,4,1,2,"3,0",11,8,,5,"165950,00$","13829,17$",1712.1825396825398,16,2,3,1,2,"3,0",7,"22,0"
10,0,1982,41,,9, reSEaRCH DIrectoR ,,No,18,,0,travel_frequently,No,5,1,2,"3,0",0,11,,3,,"15943,72$",1973.9841269841268,17,1,3,3,2,"4,0",2,"21,0"
11,1,1982,41,,7, RESeArcH DIrEctoR ,,No,21,Full Time,0,non-travel,No,5,2,3,"4,0",5,10,,1,"199730,00$","16644,17$",2060.7063492063494,22,2,1,3,2,"3,0",1,
12,0,1967,56,Married,23, MANUfACturing DIReCtOr ,,No,19,Full Time,False,travel_rarely,Yes,4,1,0,,15,9,Life Sciences,3,"134020,00$",,1382.7460317460318,12,4,3,2,1,"3,0",4,"33,0"
13,1,1985,38,Married,10, REseaRCh dirEcToR ,,No,18,Full Time,1,,No,3,1,3,"3,0",1,11,Medical,3,"132060,00$",,1362.5238095238096,12,2,1,3,1,"3,0",3,
